Genre,Occurrencies,%,% cumul,% cutoff,Songs on 2K,Songs on 2.5k,Songs on 3k,Songs on 15K,Songs 15K no cutoff
pop,441,10.30%,10.30%,14.70%,294,368,442,2209,1545
dance pop,396,9.30%,19.60%,13.20%,264,331,397,1983,1395
italian adult pop,342,8.00%,27.70%,11.40%,228,285,343,1713,1200
italian pop,263,6.20%,33.80%,8.80%,176,220,263,1317,930
pop rap,143,3.40%,37.20%,4.80%,95,119,143,716,510
italian hip hop,128,3.00%,40.20%,4.30%,85,107,128,641,450
pop dance,118,2.80%,43.00%,3.90%,79,98,118,591,420
edm,111,2.60%,45.60%,3.70%,74,93,111,556,390
classic italian pop,104,2.40%,48.00%,3.50%,69,87,104,521,360
tropical house,73,1.70%,49.70%,2.40%,49,61,73,366,255
pop rock,70,1.60%,51.40%,2.30%,47,58,70,351,240
post-teen pop,68,1.60%,53.00%,2.30%,45,57,68,341,240
latin,67,1.60%,54.50%,2.20%,45,56,67,336,240
europop,62,1.50%,56.00%,2.10%,41,52,62,311,225
italian indie pop,59,1.40%,57.40%,2.00%,39,49,59,295,210
urban contemporary,53,1.20%,58.60%,1.80%,35,44,53,265,180
italian pop rock,49,1.10%,59.80%,1.60%,33,41,49,245,165
uk pop,45,1.10%,60.80%,1.50%,30,38,45,225,165
rock,42,1.00%,61.80%,1.40%,28,35,42,210,150
electro house,42,1.00%,62.80%,1.40%,28,35,42,210,150
electropop,39,0.90%,63.70%,1.30%,26,33,39,195,135
latin pop,39,0.90%,64.60%,1.30%,26,33,39,195,135
canadian pop,38,0.90%,65.50%,1.30%,25,32,38,190,135
modern rock,37,0.90%,66.40%,1.20%,25,31,37,185,135
trap italiana,35,0.80%,67.20%,1.20%,23,29,35,175,120
rap napoletano,34,0.80%,68.00%,1.10%,23,28,34,170,120
rap,34,0.80%,68.80%,1.10%,23,28,34,170,120
permanent wave,32,0.80%,69.60%,1.10%,21,27,32,160,120
trap latino,31,0.70%,70.30%,1.00%,21,26,31,155,105
hip hop,31,0.70%,71.00%,,2000,2500,3000,15000,105
reggaeton,29,0.70%,71.70%,,,,,,105
neo mellow,27,0.60%,72.30%,,,,,,90
r&b,26,0.60%,72.90%,,,,,,90
italian underground hip hop,23,0.50%,73.50%,,,,,,75
uk dance,22,0.50%,74.00%,,,,,,75
house,20,0.50%,74.50%,,,,,,75
hip pop,20,0.50%,74.90%,,,,,,75
mexican pop,20,0.50%,75.40%,,,,,,75
rome indie,19,0.40%,75.90%,,,,,,60
art pop,18,0.40%,76.30%,,,,,,60
milan indie,18,0.40%,76.70%,,,,,,60
neo soul,18,0.40%,77.10%,,,,,,60
big room,17,0.40%,77.50%,,,,,,60
dance rock,17,0.40%,77.90%,,,,,,60
progressive house,17,0.40%,78.30%,,,,,,60
barbadian pop,16,0.40%,78.70%,,,,,,60
latin hip hop,16,0.40%,79.10%,,,,,,60
boy band,14,0.30%,79.40%,,,,,,45
colombian pop,14,0.30%,79.70%,,,,,,45
metropopolis,13,0.30%,80.00%,,,,,,45
british soul,13,0.30%,80.30%,,,,,,45
miami hip hop,13,0.30%,80.60%,,,,,,45
australian pop,12,0.30%,80.90%,,,,,,45
alternative metal,12,0.30%,81.20%,,,,,,45
talent show,10,0.20%,81.40%,,,,,,30
deep house,10,0.20%,81.70%,,,,,,30
pop soul,9,0.20%,81.90%,,,,,,30
alternative rock,9,0.20%,82.10%,,,,,,30
piano rock,9,0.20%,82.30%,,,,,,30
rap tunisien,9,0.20%,82.50%,,,,,,30
puerto rican pop,8,0.20%,82.70%,,,,,,30
viral pop,8,0.20%,82.90%,,,,,,30
trap,8,0.20%,83.10%,,,,,,30
filter house,8,0.20%,83.30%,,,,,,30
vocal house,8,0.20%,83.50%,,,,,,30
bubblegum dance,8,0.20%,83.60%,,,,,,30
australian dance,8,0.20%,83.80%,,,,,,30
indie rock italiano,7,0.20%,84.00%,,,,,,30
eurodance,7,0.20%,84.20%,,,,,,30
bergamo indie,7,0.20%,84.30%,,,,,,30
italian reggae,7,0.20%,84.50%,,,,,,30
melodic rap,7,0.20%,84.70%,,,,,,30
girl group,7,0.20%,84.80%,,,,,,30
new wave pop,7,0.20%,85.00%,,,,,,30
southern hip hop,7,0.20%,85.10%,,,,,,30
pop virale italiano,7,0.20%,85.30%,,,,,,30
disco house,7,0.20%,85.50%,,,,,,30
reggaeton colombiano,7,0.20%,85.60%,,,,,,30
nu metal,7,0.20%,85.80%,,,,,,30
deep euro house,7,0.20%,86.00%,,,,,,30
german dance,7,0.20%,86.10%,,,,,,30
folk-pop,7,0.20%,86.30%,,,,,,30
alternative dance,7,0.20%,86.50%,,,,,,30
italian alternative,6,0.10%,86.60%,,,,,,15
candy pop,6,0.10%,86.70%,,,,,,15
atl hip hop,6,0.10%,86.90%,,,,,,15
bow pop,6,0.10%,87.00%,,,,,,15
slap house,6,0.10%,87.20%,,,,,,15
irish rock,6,0.10%,87.30%,,,,,,15
rap sardegna,6,0.10%,87.40%,,,,,,15
latin arena pop,6,0.10%,87.60%,,,,,,15
funk metal,6,0.10%,87.70%,,,,,,15
detroit hip hop,5,0.10%,87.80%,,,,,,15
post-grunge,5,0.10%,88.00%,,,,,,15
new romantic,5,0.10%,88.10%,,,,,,15
canadian hip hop,5,0.10%,88.20%,,,,,,15
belgian pop,5,0.10%,88.30%,,,,,,15
pop edm,5,0.10%,88.40%,,,,,,15
toronto rap,5,0.10%,88.50%,,,,,,15
indietronica,5,0.10%,88.70%,,,,,,15
new wave,5,0.10%,88.80%,,,,,,15
new rave,5,0.10%,88.90%,,,,,,15
progressive electro house,5,0.10%,89.00%,,,,,,15
uk funky,5,0.10%,89.10%,,,,,,15
adult standards,5,0.10%,89.30%,,,,,,15
canadian latin,5,0.10%,89.40%,,,,,,15
canadian contemporary r&b,5,0.10%,89.50%,,,,,,15
francoton,5,0.10%,89.60%,,,,,,15
reggae fusion,5,0.10%,89.70%,,,,,,15
dancehall,5,0.10%,89.80%,,,,,,15
stomp and holler,4,0.10%,89.90%,,,,,,15
dfw rap,4,0.10%,90.00%,,,,,,15
east coast hip hop,4,0.10%,90.10%,,,,,,15
synthpop,4,0.10%,90.20%,,,,,,15
k-pop,4,0.10%,90.30%,,,,,,15
classic rock,4,0.10%,90.40%,,,,,,15
swedish pop,4,0.10%,90.50%,,,,,,15
rap metal,4,0.10%,90.60%,,,,,,15
britpop,4,0.10%,90.70%,,,,,,15
french indie pop,4,0.10%,90.80%,,,,,,15
modern alternative rock,4,0.10%,90.90%,,,,,,15
funk rock,4,0.10%,91.00%,,,,,,15
romanian pop,4,0.10%,91.10%,,,,,,15
electronica,4,0.10%,91.20%,,,,,,15
swedish electropop,4,0.10%,91.20%,,,,,,15
dutch edm,4,0.10%,91.30%,,,,,,15
singer-songwriter,4,0.10%,91.40%,,,,,,15
tropical,3,0.10%,91.50%,,,,,,15
g-house,3,0.10%,91.60%,,,,,,15
canadian singer-songwriter,3,0.10%,91.60%,,,,,,15
italo dance,3,0.10%,91.70%,,,,,,15
dirty south rap,3,0.10%,91.80%,,,,,,15
basshall,3,0.10%,91.90%,,,,,,15
electronic trap,3,0.10%,91.90%,,,,,,15
brostep,3,0.10%,92.00%,,,,,,15
jazz pop,3,0.10%,92.10%,,,,,,15
german techno,3,0.10%,92.10%,,,,,,15
nz pop,3,0.10%,92.20%,,,,,,15
moombahton,3,0.10%,92.30%,,,,,,15
new french touch,3,0.10%,92.30%,,,,,,15
lilith,3,0.10%,92.40%,,,,,,15
lgbtq+ hip hop,3,0.10%,92.50%,,,,,,15
seattle hip hop,3,0.10%,92.60%,,,,,,15
belgian edm,3,0.10%,92.60%,,,,,,15
trance,3,0.10%,92.70%,,,,,,15
lounge,3,0.10%,92.80%,,,,,,15
indie rock,3,0.10%,92.80%,,,,,,15
acoustic pop,3,0.10%,92.90%,,,,,,15
emo rap italiano,3,0.10%,93.00%,,,,,,15
contemporary r&b,3,0.10%,93.10%,,,,,,15
pop urbaine,3,0.10%,93.10%,,,,,,15
big beat,3,0.10%,93.20%,,,,,,15
melbourne bounce international,2,0.00%,93.20%,,,,,,0
scandipop,2,0.00%,93.30%,,,,,,0
blues rock,2,0.00%,93.30%,,,,,,0
beatlesque,2,0.00%,93.40%,,,,,,0
bachata dominicana,2,0.00%,93.40%,,,,,,0
breakbeat,2,0.00%,93.50%,,,,,,0
danish pop,2,0.00%,93.50%,,,,,,0
complextro,2,0.00%,93.60%,,,,,,0
deep tropical house,2,0.00%,93.60%,,,,,,0
sertanejo,2,0.00%,93.70%,,,,,,0
garage rock,2,0.00%,93.70%,,,,,,0
pop punk,2,0.00%,93.80%,,,,,,0
desi pop,2,0.00%,93.80%,,,,,,0
],2,0.00%,93.90%,,,,,,0
norwegian hip hop,2,0.00%,93.90%,,,,,,0
axe,2,0.00%,93.90%,,,,,,0
rock en espanol,2,0.00%,94.00%,,,,,,0
"s music""]",2,0.00%,94.00%,,,,,,0
aussietronica,2,0.00%,94.10%,,,,,,0
glam rock,2,0.00%,94.10%,,,,,,0
korean old school hip hop,2,0.00%,94.20%,,,,,,0
k-rap,2,0.00%,94.20%,,,,,,0
soul,2,0.00%,94.30%,,,,,,0
downtempo,2,0.00%,94.30%,,,,,,0
bachata,2,0.00%,94.40%,,,,,,0
mellow gold,2,0.00%,94.40%,,,,,,0
album rock,2,0.00%,94.50%,,,,,,0
russian pop,2,0.00%,94.50%,,,,,,0
french rock,2,0.00%,94.60%,,,,,,0
french reggae,2,0.00%,94.60%,,,,,,0
", ""women",2,0.00%,94.60%,,,,,,0
sertanejo pop,2,0.00%,94.70%,,,,,,0
french hip hop,2,0.00%,94.70%,,,,,,0
"autore"", ",2,0.00%,94.80%,,,,,,0
sertanejo universitario,2,0.00%,94.80%,,,,,,0
rockabilly,2,0.00%,94.90%,,,,,,0
melbourne bounce,2,0.00%,94.90%,,,,,,0
eurovision,2,0.00%,95.00%,,,,,,0
pop house,2,0.00%,95.00%,,,,,,0
romanian house,2,0.00%,95.10%,,,,,,0
german pop,2,0.00%,95.10%,,,,,,0
french pop,2,0.00%,95.20%,,,,,,0
urbano espanol,2,0.00%,95.20%,,,,,,0
baroque pop,2,0.00%,95.30%,,,,,,0
chanson,2,0.00%,95.30%,,,,,,0
indie pop rap,2,0.00%,95.40%,,,,,,0
"[""canzone d",2,0.00%,95.40%,,,,,,0
electro swing,2,0.00%,95.40%,,,,,,0
rave,2,0.00%,95.50%,,,,,,0
pop r&b,2,0.00%,95.50%,,,,,,0
australian indie,2,0.00%,95.60%,,,,,,0
reggaeton flow,2,0.00%,95.60%,,,,,,0
rock-and-roll,2,0.00%,95.70%,,,,,,0
rap italiano old school,2,0.00%,95.70%,,,,,,0
queens hip hop,2,0.00%,95.80%,,,,,,0
rap genovese,2,0.00%,95.80%,,,,,,0
madchester,2,0.00%,95.90%,,,,,,0
dutch pop,2,0.00%,95.90%,,,,,,0
nu jazz,2,0.00%,96.00%,,,,,,0
nouvelle chanson francaise,2,0.00%,96.00%,,,,,,0
hip house,2,0.00%,96.10%,,,,,,0
operatic pop,2,0.00%,96.10%,,,,,,0
gangster rap,2,0.00%,96.20%,,,,,,0
musical advocacy,1,0.00%,96.20%,,,,,,0
rai,1,0.00%,96.20%,,,,,,0
rap antillais,1,0.00%,96.20%,,,,,,0
musica sarda,1,0.00%,96.20%,,,,,,0
french jazz,1,0.00%,96.30%,,,,,,0
lo-fi chill,1,0.00%,96.30%,,,,,,0
canadian punk,1,0.00%,96.30%,,,,,,0
canadian rock,1,0.00%,96.30%,,,,,,0
rap francais,1,0.00%,96.40%,,,,,,0
progressive rock,1,0.00%,96.40%,,,,,,0
spanish pop rock,1,0.00%,96.40%,,,,,,0
bhangra,1,0.00%,96.40%,,,,,,0
german trance,1,0.00%,96.50%,,,,,,0
israeli rock,1,0.00%,96.50%,,,,,,0
la indie,1,0.00%,96.50%,,,,,,0
canadian indie,1,0.00%,96.50%,,,,,,0
solo wave,1,0.00%,96.60%,,,,,,0
hollywood,1,0.00%,96.60%,,,,,,0
pittsburgh rap,1,0.00%,96.60%,,,,,,0
country pop,1,0.00%,96.60%,,,,,,0
cubaton,1,0.00%,96.60%,,,,,,0
glitchcore,1,0.00%,96.70%,,,,,,0
funk carioca,1,0.00%,96.70%,,,,,,0
balkan beats,1,0.00%,96.70%,,,,,,0
norwegian pop,1,0.00%,96.70%,,,,,,0
vocal jazz,1,0.00%,96.80%,,,,,,0
mexican classic rock,1,0.00%,96.80%,,,,,,0
hawaiian,1,0.00%,96.80%,,,,,,0
sad rap,1,0.00%,96.80%,,,,,,0
alternative hip hop,1,0.00%,96.90%,,,,,,0
oakland hip hop,1,0.00%,96.90%,,,,,,0
etherpop,1,0.00%,96.90%,,,,,,0
muzica etno,1,0.00%,96.90%,,,,,,0
swedish synthpop,1,0.00%,96.90%,,,,,,0
drill espanol,1,0.00%,97.00%,,,,,,0
swedish idol pop,1,0.00%,97.00%,,,,,,0
deep disco house,1,0.00%,97.00%,,,,,,0
gauze pop,1,0.00%,97.00%,,,,,,0
perreo,1,0.00%,97.10%,,,,,,0
viral rap,1,0.00%,97.10%,,,,,,0
indie pop,1,0.00%,97.10%,,,,,,0
classical tenor,1,0.00%,97.10%,,,,,,0
industrial rock,1,0.00%,97.20%,,,,,,0
west coast rap,1,0.00%,97.20%,,,,,,0
trap metal italiana,1,0.00%,97.20%,,,,,,0
pop nacional,1,0.00%,97.20%,,,,,,0
old school atlanta hip hop,1,0.00%,97.30%,,,,,,0
german reggae,1,0.00%,97.30%,,,,,,0
celtic rock,1,0.00%,97.30%,,,,,,0
italian lounge,1,0.00%,97.30%,,,,,,0
australian house,1,0.00%,97.30%,,,,,,0
indie r&b,1,0.00%,97.40%,,,,,,0
viral trap,1,0.00%,97.40%,,,,,,0
danish pop rock,1,0.00%,97.40%,,,,,,0
australian hip hop,1,0.00%,97.40%,,,,,,0
samba,1,0.00%,97.50%,,,,,,0
trap argentino,1,0.00%,97.50%,,,,,,0
electroclash,1,0.00%,97.50%,,,,,,0
beat italiano,1,0.00%,97.50%,,,,,,0
limerick indie,1,0.00%,97.60%,,,,,,0
trip hop,1,0.00%,97.60%,,,,,,0
symphonic rock,1,0.00%,97.60%,,,,,,0
southern rock,1,0.00%,97.60%,,,,,,0
australian r&b,1,0.00%,97.70%,,,,,,0
bass house,1,0.00%,97.70%,,,,,,0
irish singer-songwriter,1,0.00%,97.70%,,,,,,0
indie liguria,1,0.00%,97.70%,,,,,,0
desi hip hop,1,0.00%,97.70%,,,,,,0
italian tenor,1,0.00%,97.80%,,,,,,0
latin rock,1,0.00%,97.80%,,,,,,0
dutch rock,1,0.00%,97.80%,,,,,,0
k-pop boy group,1,0.00%,97.80%,,,,,,0
destroy techno,1,0.00%,97.90%,,,,,,0
trap boricua,1,0.00%,97.90%,,,,,,0
grime,1,0.00%,97.90%,,,,,,0
dominican pop,1,0.00%,97.90%,,,,,,0
dutch hip hop,1,0.00%,98.00%,,,,,,0
rap conscient,1,0.00%,98.00%,,,,,,0
virgin islands reggae,1,0.00%,98.00%,,,,,,0
israeli pop,1,0.00%,98.00%,,,,,,0
art rock,1,0.00%,98.10%,,,,,,0
pop reggaeton,1,0.00%,98.10%,,,,,,0
punk blues,1,0.00%,98.10%,,,,,,0
hyperpop,1,0.00%,98.10%,,,,,,0
german pop rock,1,0.00%,98.10%,,,,,,0
swedish tropical house,1,0.00%,98.20%,,,,,,0
brighton indie,1,0.00%,98.20%,,,,,,0
neo-synthpop,1,0.00%,98.20%,,,,,,0
leicester indie,1,0.00%,98.20%,,,,,,0
minimal tech house,1,0.00%,98.30%,,,,,,0
brazilian jazz,1,0.00%,98.30%,,,,,,0
dutch trance,1,0.00%,98.30%,,,,,,0
psychedelic rock,1,0.00%,98.30%,,,,,,0
canadian pop punk,1,0.00%,98.40%,,,,,,0
contemporary country,1,0.00%,98.40%,,,,,,0
emo rap,1,0.00%,98.40%,,,,,,0
italian progressive rock,1,0.00%,98.40%,,,,,,0
folk,1,0.00%,98.50%,,,,,,0
indie poptimism,1,0.00%,98.50%,,,,,,0
danish electronic,1,0.00%,98.50%,,,,,,0
la pop,1,0.00%,98.50%,,,,,,0
drill italiana,1,0.00%,98.50%,,,,,,0
indie anthem-folk,1,0.00%,98.60%,,,,,,0
stomp pop,1,0.00%,98.60%,,,,,,0
australian electropop,1,0.00%,98.60%,,,,,,0
filmi,1,0.00%,98.60%,,,,,,0
sophisti-pop,1,0.00%,98.70%,,,,,,0
bossa nova,1,0.00%,98.70%,,,,,,0
rap rock,1,0.00%,98.70%,,,,,,0
pop venezolano,1,0.00%,98.70%,,,,,,0
norwegian singer-songwriter,1,0.00%,98.80%,,,,,,0
modern bollywood,1,0.00%,98.80%,,,,,,0
hard rock,1,0.00%,98.80%,,,,,,0
alternative r&b,1,0.00%,98.80%,,,,,,0
scottish singer-songwriter,1,0.00%,98.90%,,,,,,0
new orleans rap,1,0.00%,98.90%,,,,,,0
uk contemporary r&b,1,0.00%,98.90%,,,,,,0
spanish pop,1,0.00%,98.90%,,,,,,0
umbanda,1,0.00%,98.90%,,,,,,0
flamenco urbano,1,0.00%,99.00%,,,,,,0
industrial metal,1,0.00%,99.00%,,,,,,0
classic arab pop,1,0.00%,99.00%,,,,,,0
neo-singer-songwriter,1,0.00%,99.00%,,,,,,0
north carolina hip hop,1,0.00%,99.10%,,,,,,0
soca,1,0.00%,99.10%,,,,,,0
virginia hip hop,1,0.00%,99.10%,,,,,,0
swedish indie pop,1,0.00%,99.10%,,,,,,0
latin alternative,1,0.00%,99.20%,,,,,,0
funk paulista,1,0.00%,99.20%,,,,,,0
athens indie,1,0.00%,99.20%,,,,,,0
rock alternatif francais,1,0.00%,99.20%,,,,,,0
pacific islands pop,1,0.00%,99.20%,,,,,,0
nova mpb,1,0.00%,99.30%,,,,,,0
south african house,1,0.00%,99.30%,,,,,,0
indie siciliano,1,0.00%,99.30%,,,,,,0
belgian rock,1,0.00%,99.30%,,,,,,0
png pop,1,0.00%,99.40%,,,,,,0
finnish alternative rock,1,0.00%,99.40%,,,,,,0
cantautor,1,0.00%,99.40%,,,,,,0
arkansas indie,1,0.00%,99.40%,,,,,,0
fake,1,0.00%,99.50%,,,,,,0
classic greek pop,1,0.00%,99.50%,,,,,,0
soft rock,1,0.00%,99.50%,,,,,,0
ye ye,1,0.00%,99.50%,,,,,,0
trap antillais,1,0.00%,99.60%,,,,,,0
industrial,1,0.00%,99.60%,,,,,,0
south carolina hip hop,1,0.00%,99.60%,,,,,,0
hardcore hip hop,1,0.00%,99.60%,,,,,,0
argentine hip hop,1,0.00%,99.60%,,,,,,0
cali rap,1,0.00%,99.70%,,,,,,0
mpb,1,0.00%,99.70%,,,,,,0
g funk,1,0.00%,99.70%,,,,,,0
belgian singer-songwriter,1,0.00%,99.70%,,,,,,0
olympia wa indie,1,0.00%,99.80%,,,,,,0
melanesian pop,1,0.00%,99.80%,,,,,,0
classic bhangra,1,0.00%,99.80%,,,,,,0
turin indie,1,0.00%,99.80%,,,,,,0
electro,1,0.00%,99.90%,,,,,,0
nu disco,1,0.00%,99.90%,,,,,,0
modern blues rock,1,0.00%,99.90%,,,,,,0
electronic rock,1,0.00%,99.90%,,,,,,0
detroit rock,1,0.00%,100.00%,,,,,,0
latin house,1,0.00%,100.00%,,,,,,0
canzone napoletana,1,0.00%,100.00%,,,,,,0
